id,year,month,ph,do,bod,cod,nitrate,fc,WQI
2168,2017,4,7.1,1.8,20,84,2,970,34.35
2168,2017,5,7.6,,40,84,0.4,540,27.12
2168,2017,6,7.6,,80,264,0.5,1600,25.16
2168,2017,7,7.1,3.9,8,36,3,920,51.37
2168,2017,8,7.4,5.6,7,48,1.6,920,62.38
2168,2017,9,6.6,3.8,6,24,4.3,1600,49.54
2168,2017,10,7,,45,112,1.5,1600,25.54
2168,2017,11,7.2,,17,1.9,1.9,1600,30.05
2168,2017,12,7,,32,56,2.2,1600,25.54
2168,2018,1,6.9,1.5,34,72,19.8,1600,29.52
2168,2018,2,7.5,,60,160,1.1,1600,25.81
2168,2018,3,7.3,,60,104,1.7,920,27.99
2168,2018,4,7.7,,80,148,1.6,1600,24.5
2168,2018,5,8.2,,45,92,3,1600,21.22
2168,2018,6,7.4,,45,120,1.7,1600,26.47
2168,2018,7,7.3,5.2,7,28,5.1,1600,61.19
2168,2018,8,6.8,,95,216,1.3,1600,24.06
2168,2018,9,6.9,1.2,40,84,4.6,1600,28.58
2168,2018,10,7,1,40,88,2.1,1600,28.69
2168,2018,11,6.8,,46,80,1.7,1600,24.06
2168,2018,12,7.2,1.2,40,100,0.7,920,31.03
2168,2019,1,6.1,1.6,38,80,1.5,1600,23.94
2168,2019,2,7,,50,116,2.2,1600,25.54
2168,2019,3,6.5,3.1,18,88,1.4,1600,37.7
2168,2019,4,6.5,,50,140,1.4,920,22.1
2168,2019,5,7.2,,50,108,1.4,1600,27.01
2168,2019,6,7.2,1.3,35,84,1.2,790,31.84
2168,2019,7,6.5,5,6,20,2.4,220,60.37
2168,2019,8,6.7,4.6,7,48,0.5,130,59.99
2168,2019,9,7.3,5.2,6,20,1.1,790,63.25
2168,2019,10,7.3,3.4,18,40,1.6,790,46
2168,2019,11,7.2,4.7,9,52,2.2,17000,52.77
2168,2019,12,7.5,4,12,32,2,3500,47.35
2168,2020,1,7.2,3.2,14,100,2.9,3500,43.61
2168,2020,2,7,,54,120,1.4,54000,22.22
2168,2020,3,7.1,,30,76,1.6,54000,22.96
2168,2020,4,7,,40,104,1.3,920,25.78
2168,2020,5,7.6,,28,64,5.3,35000,22.72
2168,2020,6,7.5,4.7,9,28,0.5,92000,49.98
2168,2020,7,7.6,5,5,28,0.3,92000,56.32
2168,2020,8,7.4,4.6,8,64,0.3,54000,51.91
2168,2020,9,7.9,6.8,3,16,5.2,54000,64.34
2168,2020,10,7.3,3.9,11,120,5.1,700,50.82
2168,2020,11,6.9,5,8,100,1.2,920,56.03
2168,2020,12,7,1.9,28,72,0.1,350,35.35
2168,2021,1,,,,,,,
2168,2021,2,7.2,2.5,23,80,15.9,240,41.11
2168,2021,3,7,1.7,38,80,1.4,540,32.85
2168,2021,4,7.2,3,28,84,0.3,1700,39.91
2168,2021,5,7.2,2.6,7,36,1.3,1700,43.82
2168,2021,6,7.2,4.6,6,32,0.3,22,70.75
2168,2021,7,7.1,1.3,22,56,0.3,17,45.39
2168,2021,8,7.8,3.8,16,188,0.86,2200,43.76
2168,2021,9,7.2,4.6,6,48,0.3,4.5,75.88
2168,2021,10,7.1,1,45,116,0.5,17000,27.2
2168,2021,11,6.9,2.4,10,64,1.63,1600,37.04
2168,2021,12,7,6.8,3.2,16,1.17,11000,67.92
2168,2022,1,7,,50,108,3.46,3500,24.8
2168,2022,2,7,,80,172,20.65,3500,24.8
2168,2022,3,7.2,,65,144,15.5,3500,26.27
2168,2022,4,7,,55,120,1.86,3500,24.8
2168,2022,5,7.2,,34,80,0.3,1600,27.01
2168,2022,6,7.5,,50,104,2.14,5400,24.67
2168,2022,7,7.3,6.9,7,36,0.53,170,72.31
2168,2022,8,7.3,,42,60,0.31,700,28.88
2168,2022,9,7.1,1.5,24,56,2.61,2800,31.87
2168,2022,10,7.2,2.8,28,68,1.04,790,39.58
2168,2022,11,7.3,0.3,38,92,1.09,1700,28.64
2168,2022,12,7.6,4.6,32,88,1.36,3500,45.83
2168,2023,1,7,0.3,44,96,0.3,5400,25.34
2168,2023,2,7.1,4.5,12,116,4.73,2200,51.04
2168,2023,3,7,0.3,82,212,5.98,9200,24.83
2168,2023,4,7.1,3.9,13,212,6.74,2200,47.45
2168,2023,5,8.1,1.6,30,92,3.33,28000,24.21
2168,2023,6,7.6,4.2,,100,3.99,92000,
2168,2023,7,7.2,2.6,22.5,92,3.21,540000,32.61
2168,2023,8,7.3,2.6,2.4,12,3.2,54000,47.41
2168,2023,9,7,,50,88,1.53,1700,25.48
2168,2023,10,7.3,,34,52,1.74,1700,27.69
2168,2023,11,7.1,1.5,40,76,6.53,92000,27.18
2168,2023,12,6.9,,,452,2.19,2400,
2168,2024,1,7.7,,75,168,1.1,3500,23.76
2168,2024,2,7.1,,60,171.7,2.1,220,31.15
2168,2024,3,7.1,,46,74.8,0.3,3500,25.54
2168,2024,4,7.1,,80,311.1,0.38,3500,25.54
2168,2024,5,7.2,,46,98.4,0.3,220,31.88
2168,2024,6,7.2,2,22,35.5,6.84,350,38.55
2168,2024,7,7.5,2.2,28,76,4.2,1200,33.48
2168,2024,8,7.2,3.8,6,36,4.35,5400,52.82
2168,2024,9,7.7,1.9,14,52,2.7,5400,33.07
2168,2024,10,7.2,1.8,18,60,2.2,9200,33.83
2168,2024,11,7.5,2.6,23,56,1.49,2400,35.25
2168,2024,12,7.8,1.8,18,60,1.56,3500,31.58
